0,0,0
0.075377,-5.4276e-006,-5.4246e-006
0.15075,-3.6528e-005,-3.6517e-005
0.22613,-0.00012763,-0.00012761
0.30151,-0.00032715,-0.00032713
0.37688,-0.00069758,-0.00069758
0.45226,-0.0013143,-0.0013143
0.52764,-0.0022589,-0.0022591
0.60302,-0.0036175,-0.003618
0.67839,-0.0054809,-0.0054823
0.75377,-0.0079444,-0.0079477
0.82915,-0.011108,-0.011115
0.90452,-0.015073,-0.015085
0.9799,-0.01994,-0.019962
1.0553,-0.025812,-0.025849
1.1307,-0.032788,-0.032849
1.206,-0.040969,-0.041065
1.2814,-0.050456,-0.050601
1.3568,-0.061346,-0.061559
1.4322,-0.073733,-0.07404
1.5075,-0.087708,-0.088143
1.5829,-0.10336,-0.10396
1.6583,-0.12078,-0.1216
1.7337,-0.14005,-0.14115
1.809,-0.16124,-0.16269
1.8844,-0.18443,-0.18633
1.9598,-0.2097,-0.21214
2.0352,-0.2371,-0.24022
2.1106,-0.26671,-0.27065
2.1859,-0.29857,-0.3035
2.2613,-0.33275,-0.33887
2.3367,-0.3693,-0.37681
2.4121,-0.40825,-0.41742
2.4874,-0.44964,-0.46075
2.5628,-0.49353,-0.50689
2.6382,-0.53992,-0.5559
2.7136,-0.58885,-0.60784
2.7889,-0.64034,-0.66279
2.8643,-0.6944,-0.72079
2.9397,-0.75105,-0.78192
3.0151,-0.81029,-0.84622
3.0905,-0.87213,-0.91376
3.1658,-0.93656,-0.98459
3.2412,-1.0036,-1.0588
3.3166,-1.0732,-1.1363
3.392,-1.1453,-1.2173
3.4673,-1.22,-1.3018
3.5427,-1.2971,-1.3898
3.6181,-1.3768,-1.4813
3.6935,-1.4589,-1.5765
3.7688,-1.5434,-1.6753
3.8442,-1.6302,-1.7778
3.9196,-1.7194,-1.884
3.995,-1.8108,-1.9939
4.0704,-1.9045,-2.1076
4.1457,-2.0003,-2.2251
4.2211,-2.0981,-2.3464
4.2965,-2.198,-2.4715
4.3719,-2.2999,-2.6005
4.4472,-2.4036,-2.7334
4.5226,-2.5092,-2.8701
4.598,-2.6164,-3.0108
4.6734,-2.7253,-3.1554
4.7487,-2.8358,-3.3038
4.8241,-2.9477,-3.4562
4.8995,-3.061,-3.6126
4.9749,-3.1756,-3.7728
5.0503,-3.2915,-3.937
5.1256,-3.4084,-4.1051
5.201,-3.5263,-4.2771
5.2764,-3.6452,-4.453
5.3518,-3.7648,-4.6328
5.4271,-3.8852,-4.8165
5.5025,-4.0062,-5.0041
5.5779,-4.1277,-5.1954
5.6533,-4.2496,-5.3906
5.7286,-4.3717,-5.5896
5.804,-4.4941,-5.7924
5.8794,-4.6166,-5.9989
5.9548,-4.739,-6.209
6.0302,-4.8613,-6.4229
6.1055,-4.9833,-6.6404
6.1809,-5.1051,-6.8615
6.2563,-5.2264,-7.0861
6.3317,-5.3471,-7.3142
6.407,-5.4672,-7.5458
6.4824,-5.5866,-7.7809
6.5578,-5.705,-8.0192
6.6332,-5.8226,-8.2609
6.7085,-5.939,-8.5058
6.7839,-6.0543,-8.754
6.8593,-6.1684,-9.0052
6.9347,-6.2811,-9.2596
7.0101,-6.3923,-9.5169
7.0854,-6.502,-9.7772
7.1608,-6.6101,-10.04
7.2362,-6.7165,-10.306
7.3116,-6.8211,-10.575
7.3869,-6.9238,-10.846
7.4623,-7.0245,-11.12
7.5377,-7.1231,-11.397
7.6131,-7.2196,-11.676
7.6884,-7.314,-11.957
7.7638,-7.406,-12.24
7.8392,-7.4957,-12.526
7.9146,-7.583,-12.814
7.9899,-7.6678,-13.104
8.0653,-7.7501,-13.395
8.1407,-7.8297,-13.689
8.2161,-7.9067,-13.984
8.2915,-7.9809,-14.281
8.3668,-8.0524,-14.58
8.4422,-8.1211,-14.88
8.5176,-8.1869,-15.181
8.593,-8.2497,-15.484
8.6683,-8.3096,-15.788
8.7437,-8.3665,-16.093
8.8191,-8.4204,-16.399
8.8945,-8.4712,-16.706
8.9698,-8.5188,-17.014
9.0452,-8.5634,-17.322
9.1206,-8.6047,-17.632
9.196,-8.6429,-17.941
9.2714,-8.6778,-18.251
9.3467,-8.7096,-18.562
9.4221,-8.738,-18.873
9.4975,-8.7632,-19.184
9.5729,-8.7851,-19.494
9.6482,-8.8037,-19.805
9.7236,-8.819,-20.116
9.799,-8.8309,-20.427
9.8744,-8.8395,-20.737
9.9497,-8.8448,-21.047
10.025,-8.8468,-21.356
10.101,-8.8454,-21.665
10.176,-8.8407,-21.973
10.251,-8.8326,-22.28
10.327,-8.8212,-22.586
10.402,-8.8065,-22.892
10.477,-8.7884,-23.196
10.553,-8.767,-23.499
10.628,-8.7423,-23.802
10.704,-8.7143,-24.102
10.779,-8.683,-24.402
10.854,-8.6484,-24.7
10.93,-8.6106,-24.996
11.005,-8.5695,-25.291
11.08,-8.5251,-25.584
11.156,-8.4776,-25.876
11.231,-8.4268,-26.166
11.307,-8.3728,-26.454
11.382,-8.3157,-26.74
11.457,-8.2553,-27.024
11.533,-8.1919,-27.305
11.608,-8.1253,-27.585
11.683,-8.0557,-27.863
11.759,-7.9829,-28.138
11.834,-7.9071,-28.412
11.91,-7.8283,-28.683
11.985,-7.7464,-28.951
12.06,-7.6616,-29.218
12.136,-7.5738,-29.481
12.211,-7.4831,-29.743
12.286,-7.3895,-30.002
12.362,-7.293,-30.258
12.437,-7.1936,-30.512
12.513,-7.0915,-30.764
12.588,-6.9865,-31.013
12.663,-6.8787,-31.259
12.739,-6.7683,-31.503
12.814,-6.6551,-31.744
12.889,-6.5393,-31.983
12.965,-6.4208,-32.219
13.04,-6.2998,-32.452
13.116,-6.1762,-32.683
13.191,-6.0501,-32.912
13.266,-5.9215,-33.138
13.342,-5.7904,-33.362
13.417,-5.657,-33.583
13.492,-5.5213,-33.801
13.568,-5.3832,-34.018
13.643,-5.2429,-34.232
13.719,-5.1004,-34.443
13.794,-4.9558,-34.653
