0.97,-5.0166,5.3089
0.975,-5.0516,5.3197
0.98,-5.0866,5.3305
0.985,-5.1216,5.3416
0.99,-5.1566,5.3529
0.995,-5.1916,5.3645
1,-5.2266,5.3764
1.005,-5.2616,5.3887
1.01,-5.2966,5.4015
1.015,-5.3316,5.4147
1.02,-5.3666,5.4285
1.025,-5.4016,5.4428
1.03,-5.4366,5.4578
1.035,-5.4716,5.4734
1.04,-5.5066,5.4898
1.045,-5.5416,5.507
1.05,-5.5766,5.525
1.055,-5.6116,5.5439
1.06,-5.6466,5.5638
1.065,-5.6816,5.5847
1.07,-5.7166,5.6066
1.075,-5.7516,5.6297
1.08,-5.7866,5.654
1.085,-5.8216,5.6795
1.09,-5.8566,5.7064
1.095,-5.8915,5.7346
1.1,-5.9264,5.7643
1.105,-5.9612,5.7955
1.11,-5.9958,5.8283
1.115,-6.0303,5.8627
1.12,-6.0634,5.8977
1.125,-6.0947,5.9327
1.13,-6.124,5.9677
1.135,-6.1512,6.0027
1.14,-6.1763,6.0377
1.145,-6.1993,6.0726
1.15,-6.2199,6.1076
1.155,-6.2383,6.1425
1.16,-6.2543,6.1772
1.165,-6.2679,6.2118
1.17,-6.279,6.246
1.175,-6.2876,6.28
1.18,-6.2938,6.3136
